A Plain Song                  ,D.W. Griffith                                                                                            
The Purgation                 ,D.W. Griffith                                                                                            
Ramona                        ,D.W. Griffith                                                                                            
A Rich Revenge                ,D.W. Griffith                                                                                            
The Rocky Road                ,D.W. Griffith                                                                                            
A Romance of the Western Hills,D.W. Griffith                                                                                            
Rose o' Salem Town            ,D.W. Griffith                                                                                            
A Salutary Lesson             ,D.W. Griffith                                                                                            
Serious Sixteen               ,D.W. Griffith                                                                                            
Simple Charity                ,D.W. Griffith                                                                                            
The Song of the Wildwood Flute,D.W. Griffith                                                                                            
The Sorrows of the Unfaithful ,D.W. Griffith                                                                                            
A Summer Idyll                ,D.W. Griffith                                                                                            
Sunshine Sue                  ,D.W. Griffith                                                                                            
Taming a Husband              ,D.W. Griffith                                                                                            
That Chink at Golden Gulch    ,D.W. Griffith                                                                                            
Thou Shalt Not                ,D.W. Griffith                                                                                            
The Thread of Destiny         ,D.W. Griffith                                                                                            
The Twisted Trail             ,D.W. Griffith                                                                                            
The Two Brothers              ,D.W. Griffith                                                                                            
Two Little Waifs              ,D.W. Griffith                                                                                            
The Unchanging Sea            ,D.W. Griffith                                                                                            
Unexpected Help               ,D.W. Griffith                                                                                            
The Usurer                    ,D.W. Griffith                                                                                            
A Victim of Jealousy          ,D.W. Griffith                                                                                            
Waiter No. 5                  ,D.W. Griffith                                                                                            
The Way of the World          ,D.W. Griffith                                                                                            
Wilful Peggy                  ,D.W. Griffith                                                                                            
Winning Back His Love         ,D.W. Griffith                                                                                            
The Woman from Mellon's       ,D.W. Griffith                                                                                            
The Adventures of Billy       ,D.W. Griffith                                                                                            
As in a Looking Glass         ,D.W. Griffith                                                                                            
The Battle                    ,D.W. Griffith                                                                                            
The Blind Princess and the Poe,D.W. Griffith                                                                                            
Bobby, the Coward             ,D.W. Griffith                                                                                            
The Broken Cross              ,D.W. Griffith                                                                                            
The Chief's Daughter          ,D.W. Griffith                                                                                            
Conscience                    ,D.W. Griffith                                                                                            
A Country Cupid               ,D.W. Griffith                                                                                            
The Crooked Road              ,D.W. Griffith                                                                                            
Dan the Dandy                 ,D.W. Griffith                                                                                            
A Decree of Destiny           ,D.W. Griffith                                                                                            
The Diamond Star              ,D.W. Griffith                                                                                            
Enoch Arden: Part I           ,D.W. Griffith                                                                                            
Enoch Arden: Part II          ,D.W. Griffith                                                                                            
The Failure                   ,D.W. Griffith                                                                                            
Fate's Turning                ,D.W. Griffith                                                                                            
Fighting Blood                ,D.W. Griffith                                                                                            
The Outlaw's Sacrifice        ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Pals of the Range             ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Patricia of the Plains        ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Pony Express Rider        ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Ranch Girl's Legacy       ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Ranchman's Feud           ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Ranger's Bride            ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Sheriff's Sacrifice       ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Silent Message            ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Take Me Out to the Ball Game  ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Tenderfoot Messenger      ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Tout's Remembrance        ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Trail to the West             ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Under Western Skies           ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Unknown Claim             ,Gilbert M. 'Broncho Billy' Anderson                                                                      
A Vein of Gold                ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Western Chivalry              ,Gilbert M. 'Broncho Billy' Anderson                                                                      
A Western Maid                ,Gilbert M. 'Broncho Billy' Anderson                                                                      
A Western Woman's Way         ,Gilbert M. 'Broncho Billy' Anderson                                                                      
A Westerner's Way             ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Across the Plains             ,Gilbert M. 'Broncho Billy' Anderson                                                                      
At the Break of Dawn          ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Backwoodsman's Suspicion  ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Bad Man's Downfall        ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Bad Man's First Prayer    ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Border Ranger             ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Broncho Billy's Adventure     ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Broncho Billy's Christmas Dinn,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Bunco Game at Lizardhead  ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Carmenita the Faithful        ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Cattleman's Daughter      ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Corporation and the Ranch ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Count and the Cowboys     ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Cowboy Coward             ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Puncher's Law             ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Faithful Indian           ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Aida                          ,Oscar Apfel                                                                                              
The Awakening of John Bond    ,Oscar Apfel                                                                                              
The Battle of Bunker Hill     ,Oscar Apfel                                                                                              
The Black Arrow               ,Oscar Apfel                                                                                              
Para domar la suegra          ,Fructuós Gelabert                                                                                     
Ribera del Llobregat          ,Fructuós Gelabert                                                                                     
Segunda carrera automovilista ,Fructuós Gelabert                                                                                     
Teatro de la naturaleza en Sab,Fructuós Gelabert                                                                                     
Carnaval en Palamós        ,Fructuós Gelabert                                                                                     
Castillo de Arampruña      ,Fructuós Gelabert                                                                                     
De Gerona a Olot en ferrocarri,Fructuós Gelabert                                                                                     
Feria de ganado en Villarrodon,Fructuós Gelabert                                                                                     
Fiesta Mayor de Manresa       ,Fructuós Gelabert                                                                                     
Fiestas del Sitio en Bilbao   ,Fructuós Gelabert                                                                                     
Fiestas en La Bisbal          ,Fructuós Gelabert                                                                                     
Fisher Folks                  ,D.W. Griffith                                                                                            
